ukrainian,definition
приспати,put sb to sleep
приспів,"refrain, chorus"
приспішати,"to accelerate, to hasten; to speed up; (ходу́, кро́ки) to quicken"
приставання,bother(ing)
приставати,harass sb
приставити,put sth to sth
пристань,"jetty, pier, quay, marina"
пристати,"adhere to sth , cling to sth"
пристебнути,fasten sb's
пристигти,affect sb
пристоинии,decent
пристоиність,decency; out of decency
пристоино,"decently, passably; behave decently"
пристосованість,adaptability
пристосовувати,adapt sth to sth
пристосування,adaptation to sth
пристосувати,adapt sth to sb
пристосуватися,"adapt, adjust"
пристраснии,impassioned
пристрасно,passionately
пристрасть,"liking, predilection, fondness for sth"
пристріи,"device; moulding machine; towbar, trailer hitch; charger"
приступ,"rush, fit"
приступити,"proceed, move"
приступнии,"accessible, approachable"
приступність,accessibility
присудити,"award, adjudge sth to sb"
присудок,predicate
присунути,push sth to(ward) sth
присутніи,present at sth
присутніиість,(-ности) ж presence; attendance; being; в моїй прису́тпості in my presence
присутність,presence of mind
присьорбувати,sip
присяга,oath; be under oath; take an oath
присягати,swear
присягнути,swear to sth
присядка,knee bend
присяжнии,sworn
присяжніии,(прися́глий) (-ного) ч juryman; пано́ве ~ і gentlemen of the jury
притакувати,"to nod (кому́сь, до кого́сь - to); to agree to a. with; to concur with; to affirm, to answer in the affirmative"
приталении,fitted
притаманнии,"inborn, innate, bred in, inbred"
притикати,"to border upon, to be next-door (а. adjoining) to; to abut (on, upon, against)"
притинати,"to tail, to cut short"
притиск,"(-ку) ч stress, accent; з ~ом emphatically, urgently"
притискати,(притиснути) to press (а. squeeze) against а. on to
притиснути,catch one's finger in the door
притиснутися,press osf against sb
притихати,"to calm down, to set (to be) at ease; (ві́тер) to calm down; ві́тер прити́х... has calmed (а. settled, gone) down"
притичина,"(-ни) ж occurent, incident"
притишении,muffled
приткати,to stop (а. stuff) up
притока,"tributary, affluent"
притолочувати,to tread under foot to trample down
притомнии,"conscious, in one's приховувати right senses"
притомнииність,"(-ности) ж consciousness; ~ ~ у́ма presence of mind приту́лок (-лку) ч shelter; place of refuge, asylum; aimhouse, housing; дати ~ to lodge, to harbour, to house притранля́тйся to happen, to occur, to chance, to take place приту́лювати to press closely to"
притомниися,"to conceal o. s., to hide o. s."
притому,at the same time
притон,gambling den
притримати,hold sth
притулитися,"cuddle up, snuggle"
притулок,asylum law
притупити,"dull, numb"
притупитися,become blunt
притча,parable
притягнути,"draw, drag, pull sth swh"
притягти,drag sb swh
притягувати,attract sth
прихватка,pot holder
прихильник,"supporter, adherent"
прихильність,favour
прихистити,"shelter, harbour, (AmE)"
прихисток,shelter
прихід,arrival
приховании,ulterior
приховати,"cover up, hush up sth"
приховувати,make no secret of sth
приходень,(-дня)ч immigrant
приходити,"come, arrive"
приходить,~ that comes (а.
приходство,"(-ства) c parsonage I sight, aim"
прихожанин,churchgoer
приціл,sight
прицілення,"aiming, pointing"
прицілитися,take
прицілятися,"to (take) aim at a p., a th I tongue"
прицмокувати,to click one's
прича,(-чі) ж військ. guardbed; (у в'язни́пі) plank-bed
причаітися,to lie in wait (а. ambush) for a p.
причал,"quay, marina"
причалити,"berth, wharf, moor"
причалювання,c (прича́лення) місце для ~ кораблів pier; примусо́ве ~ forcelanding
причалювати,"to land, to come (а. to get on) shore, to disembark"
причандали,"(-лів) мн appliances мн, gear, tools and machinery"
причаснии,"taking part in, taking an interest in"
причастя,(holy) communion; administer communion
причащатися,"commune, take communion"
причепа,nuisance
причепити,hitch sth to sth
причепитися,"find fault with sth , pick holes in sth"
причепливии,contentious
причепуритися,smarten osf
причесати,comb sb
причетнии,"involved in sth , engaged in"
причетність,"participation, involvement in sth"
причина,reason for sth
причинити,"pull to, push to"
причиннии,causal
причинність,causality
причиновии,causal; ~ e ре́: чення adverbial clause denoпріснйй ting cause
причиновииськии,"friendly, amicable прібка (-ки) ж куп. sample, specimen; (зразок) pattern прізвище (-ща) с name; surname пріму́лька (-ки) ж бот. primrose прірва (-ви) ж gap, cleft; (про́пасть) gulf, abyss прісний unleavened"
причіп,trailer
пришвидшити,"speed up, accelerate, quicken sth"
пришелець,comer
пришити,"sew, stitch sth on sth"
прищ,"pimple, spot, pustule"
прищепити,instil sth in
прищик,pustule
прищіпка,BrE
приютити,"shelter, harbour, (AmE)"
приязно,"kindly, warmly"
приязнь,"favour, (AmE)"
приятель,mate
приятелька,female
приятелювати,pal with sb
прізвисько,"nickname, epithet"
прізвище,"surname, family name, last name; maiden name"
пріор,prior
пріоритет,"priority, precedence; top priority"
прірва,"abyss, chasm"
пріснии,fresh water
прісноводнии,freshwater; freshwater fish
пріти,to sweat; (чемніше) to perspire
про,He didn't tell me about it
проаналізувати,to thrash ou t
проба,test; hallmark; sample
пробачати,"to forgive, to pardon (кому́сь щось a p. a th.), to excuse; проба́чте! I beg your pardon!, pardon me!, I beg to be excused!, I am (so) боггу!; щ, so sorry!"
пробачення,forgiveness
пробаченпя,"c pardon, excuse, apology"
пробачити,forgive sb sth
пробивати,push through
пробиватися,eke out
пробивнии,"self-assertive, pushing"
пробиратися,wade through sth
пробити,"break through, rip through"
пробитися,force one's way swh
пробівка,(-ки) ж (пробірка) test-tube
пробігти,run sth
пробіл,gap; space bar
пробіотик,probiotic
пробіотичнии,probiotic
пробірка,test tube
пробка,congestion
проблема,"problem, trouble; He has some back trouble.; No problem!; What's the catch?"
проблематика,problems
проблематичнии,"problematic, problematical"
проблемнии,"problematic, problematical"
проблемтичнии,problematic [al]; uncertain
проблиск,flicker of hope
пробнии,test
пробнииувати,"to awaken, to rouse, to call up; ся to awake, to wake (up); (на́гло) to start up прова́дити to lead; to conduct; to guide, (зараджувати) to direct, to manage"
пробувати,"try to do sth , attempt sth"
пробуджувати,"arouse, awaken sth"
пробути,spend
провадження,proceedings
проваидер,provider
провал,failure
провалитися,fall through
провалля,"abyss, chasm"
провести,Will you see me to the station
провидиця,"prophetess, seeress, clairvoyante"
провидницькии,visionary
провина,fault; hold sth
провинитися,violate sth
провіант,"provisions, food supplies"
провід,"wire, line"
провідати,visit sb
провіднии,"leading, top; conductive"
провідник,dog handler | conductor
провідниця,BrE
провідність,conduction
провізія,"(-ії) ж commission, percentage"
провізоричнии,"provisional, temporary; makeshift"
провізорія,( ії) ж provisional (a. temporary) arrangement a. state
провізорнии,tentative
провінціалізм,provincialism
провінціальнии,provincial
провінціинии,provincial
провінція,province
провінціяона,́льний provincial; (маломістечко́вий) ^countrified
провір,"(-у) ч, ~ка (-ки) ж control, supervision"
провірити,test sth
провірювати,"(провіря́ти) to examine, to scrutinize; техн. осно́вно: to overhaul; to control; to verify; to review"
провісник,"fortune-teller, soothsayer"
провітрити,"air, ventilate"
провітрювати,"air, ventilate"
провіянт,"(-ту) ч provisions, victuals мн"
проводження,c transmission
проводир,"(-ря́) ч leader, chief, (розбишак) chieftain"
проводити,"hold talks on sth , debate sth"
провока,́торський provocative ; ́ція (-ії) ж provocation
провокатор,agitator
провокаціинии,provocative
провокація,provocation
провокува,"́ти to provoke, to defy"
провокувати,incite
проволікати,"to protract, to прогріша́тися put off"
проворнии,agile
провулок,"alley, alleyway"
прогалина,"blank, space; gap, lacuna"
прогестерон,progesterone
прогинатися,sag
прогірклии,rancid
проглянути,peep out of sth
прогнати,give sb a
прогноз,tip
прогнозувати,predict
прогнути,"bend, arch, curve sth"
прогодувати,"maintain, support sb"
проголосити,"declare, proclaim sth; propose a toast"
проголосувати,approve
проголошення,"proclamation, pronouncement"
проголошувати,proclaim; proclaim osf
програвання,playback
програвач,player
програма,app
програміст,(computer) programmer
програмістка,(female) programmer
програмнии,software
програмування,programming; programming language
програмувати,(BrE)
програнии,lost
програти,"play, put on sth"
програш,loss
прогрес,"progress, advance"
прогресивнии,progressive
прогресивно,progressively
прогресія,progression
прогресуючии,progressive
прогриміти,"be heard, sound"
прогріти,warm through
прогрішитися,to wrong a p.
прогудіти,hum
прогулька,"(-ки) ж trip, excursion, outing; run, jaunt; ; з дітьми́ treat; роби́ти ~y to make an excursion, to take a (short) trip to; to trip"
прогульковець,"(-вця) ч excursionist, щ. tripper"
прогульник,truant
прогулянка,"walk, ramble"
прогулянку,to take a walk а. a stroll
прогулятися,"walk through, criss-cross sth"
проґавити,omit
проґрес,(-су) ч {= по́ступ) progress
проґресивнии,progressive
продавати,auction
продаватися,sell
продавець,"(BrE); seller, vendor"
продавчиця,"(-ці) ж seller; (в малі́м) retailer; shop-assistant, saleswoman, shopgirl"
продавщиця,"saleswoman, shop assistant, (AmE)"
продаж,"sale or return, consignment sale"
продажнии,"bribable, venal, corruptible"
продажність,"(-ности; ж saleableness, marketableness; (люди́ни) venality, corruptibility"
продати,auction
продатися,sell out to sb
продезінфікувати,disinfect
продекламувати,recite
продемонструвати,demonstrate sth
продертися,force one's
продзвонити,"prank, drop-call sb"
продиктувати,dictate sth to sb
продиратися,"to break through, to pierce"
проділ,(BrE)
продірявити,"puncture, perforate"
продовженнаічнии,"in prose; (непоети́чний) prosy; (без фанта́зії) matter of-fact, jejune *"
продовженнивнии,productive; efficient
продовженнивність,"(-ности) ж productiveness, productivity, fertility продукува́ти to produce; сіль. госп. to grow, із землі: to yield"
продовження,extension
продовженнякусь,"робо́ту to continue; прозаїчний матем. to produce (a line); to lengthen, to elongate; to add a piece to; (речене́ць) to, prolong, to extend про́дув (-ву) ч draught, current of air ироду́кг ( ту) ч product; (землепло́ди) produce; production; харчеві ~и victuals"
продовжити,"prolong, extend sth"
продовжувати,"continue to do sth, doing sth , go on with"
продовжувач,continuator
продовольство,"food, foodstuff"
продовольчии,food aid
продукт,groceries
продуктивнии,working/productive age
продуктивність,"productivity, performance"
продукціинии,(of) production
продукція,production
продумании,thought-out
продумати,think sth
продюсер,producer
продюсерка,(female) producer
проекзаменувати,examine sb in sth
проєвропеиськии,pro-European
проєкт,draft
проєктант,"project architect, design consultant"
проєктантка,(female) project architect
проєктор,projector
проєктування,"engineering, designing"
проєктувати,design
проєкція,projection
прожектор,"headlamp, spotlight, searchlight, floodlight"
проживання,temporary
проживати,"reside, stay swh"
прожити,spend
прожиток,"living, livelihood"
проза,prose
прозаік,"prosaist, prose writer"
прозаічнии,prosaic
прозвании,called
прозвітувати,settle sth
прозвучати,sound
прозивати,nickname sb sth
прозирати,to shine (а. to let light) through
прозирнути,peep out of sth
прозірнии,"(прозо́рий) transparent, limpid; clear, distinct, legible"
прозории,"transparent, clear, limpid, pellucid"
прозорість,transparency
прозорливии,"far-sighted, foresighted, clairvoyant"
прозорливість,insight
прозябати,"to germinate, to sprout foith"
прозябець,"(-бця) ч бот,., cotyledon"
проидисвіт,swashbuckler
проима,armhole
проимаючии,(хо́лод) piercing (а. biting) cold
проити,go past sb
проитися,"go for a walk, take a walk"
проідати,"to eat through; (прожира́ти) to corrode; (гро́ші) to consume, to eat up; (діру́) to eat (а. gnaw) through"
проіжджати,go through sth
проіжджии,(жого) ч through-passenger
проізд,"passage through sth; fare, travel expenses"
проіздити,"cover, travel"
проізнии,passable
проіхати,pass
прокажении,leper
проказа,leprosy
прокат,"rental, (BrE); hired/ (AmE); hire (service)"
прокидатися,wake
прокинутися,awaken
прокиснути,"turn/go sour, sour"
прокладання,laying
прокладати,lay; clear the way for sth
прокладення,"marking out, delineation"
прокладка,"sanitary towel, (AmE); gasket"
прокласти,beat
проклинати,"to damn,to swear (когось - at), to curse, to call down curses upon; to execrate"
проклін,curse
проклямува,́ти to proclaim
проклясти,curse sb
проклятии,"blasted, cursed, accursed"
прокляття,curse
проковтатати,"to swallow, to devour пролім (-ло́му) ч військ.Ьі eaking through про́літ (-льо́ту) ч 1. flight through: 2. diameter"
проковтати,"(проковтну́ти) to swallow, to devour; (жа́дібно) to gobble промахнутися проко́лювати to pierce through; го́лкою: to prick; to transfix | проко́пувати: гору́ to tunnel a mountain прокормля́ти (прокорми́ти) to nourish, to feed"
проковтатизація,(-ії) ж proletarianization
проковтнути,swallow up
прокол,"puncture, flat, blow-out"
проколении,pierced
проколоти,I've got a puncture.
проколотии,pierced
прокоментувати,gloss sth
проконсультуватися,"consult sb about sth, with sb"
проконтролювати,"check sth , check sth over, inspect sth"
прокопати,dig (through) sth
прокрастися,"sneak into, creep into sth"
прокрутити,scroll
прокуратура,(public) prosecutor's office
прокурении,"smoky, smoke-filled"
прокурор,"(public) prosecutor, (AmE)"
прокурорка,(female) public prosecutor
прокусити,bite through sth
проламати,break through
проламатися,give way
пролежень,"bedsore, decubitus/pressure ulcer"
пролежувати,lie fallow
пролетаріат,proletariat
пролетіти,fly over sth
проливати,shed
проливнии,torrential
пролити,shed
пролитися,spill
пролізти,crawl
проліска,"scilla, squill"
проліт,overflight over/across sth
проліферація,growth
пролог,prologue
пролунати,"be heard, sound"
промаинути,flash past/by
промандрувати,travel (throughout)
промах,"mistake, error, false move"
промахнутися,miss sth
промежина,crotch
променад,esplanade
променевии,"radius, radial bone"
променистии,radiant
промерзати,to freeze a. to
промивання,"irrigation, lavage, douche; money laundering; brainwashing"
промивати,pan for gold
промисловепь,"( вця) ч tradesman, industrialist"
промисловець,industrialist
промисловии,industrial
промисловість,industry; heavy industry; extracting/extractive industry
промичка,(-ки) ж gap between two teeth
проміжнии,intermediate
проміжок,"interval; interim, intervening time"
проміле,"per thousand, per mil(le)"
промінь,"ray, beam"
проміскуітет,promiscuity
промова,speech
промоклии,soaking (wet)
промокнути,"get soaked, get drenched, get wet"
промоутер,promoter
промочити,drench
промчатися,"sweep past sth, through sth"
пронести,"smuggle, sneak sth swh"
пронестися,"sweep past sth, through sth"
пронизливии,"penetrating, piercing"
проникливии,"astute, shrewd"
проникливість,"insight, permeability"
проникнення,penetration
проникнии,"permeable, pervious"
проникнути,Somebody broke into his house
проновідальниця,(ці) ж pulpit; вихо́дити на ~ю го mount the pulpit
пронос,"diarrhoea, (AmE)"
проноситися,"whizz, whoosh"
проносне,laxative
проноснии,"have a laxative effect, be laxative"
пронумерувати,number sth/sb
пронурок,dipper
пропаганда,propaganda
пропагандист,promoter
пропагандистськии,propagandist
пропагувати,"promote sth , agitate, campaign for sth"
пропадати,"disappear, vanish"
пропам'ятнии,"~e письмо́ memoir, memorial"
пропан,propane
пропан-бутан,propane-butane
пропаснии,"febrile, feverish"
пропасниця,chill
пропасти,disappear
пропелер,"propeller, (BrE)"
пропечении,well done
пропилососити,"vacuum, hoover, (BrE)"
прописании,prescribed
прописати,register sb
прописатися,register
прописка,registration (of residence)
пропити,drink away sth
пропливти,"sail through sth, past sth"
проповідник,preacher
проповідувати,preach
проповідь,sermon
пропозиція,"offer, proposal, proposition, suggestion"
прополіскувати,"(рот) to rinse out one's mouth; (скля́нку) Ю rinse пропонува́ти to propose (а. suggest) a th. to a p.; (това́ри) to offer, to tender"
прополоскати,"rinse out, (BrE)"
пропонувати,offer sth
пропорціинии,proportional
пропорціиність,proportionality
пропорціино,proportionally
пропорція,proportion; proportions
пропуск,"pass, permit"
пропустити,Make way
пропущении,missed call
пропущення,c omission про́скурка прорив (-ву) ч breach
прорахуватися,miscalculate
прорвании,burst
прорвати,breach sth
прорватися,break through
проректор,"deputy vice-chancellor, (BrE)"
проректорка,(female) deputy vice-chancellor
прорив,delay
прорити,dig (through) sth
проріз,armhole
прорізуватися,be teething
прорікати,foretell sth
пророк,prophet
пророкувати,prophesy sth
проросіиськии,pro-Russian
проростати,"germinate, sprout"
прорости,"germinate, sprout, shoot"
пророцтво,"prophecy, divination"
пророцькии,prophetic
пророчии,prophetic
пророчити,forecast
просвердлити,drill
просвітити,"enlighten, edify sb"
просвітництво,enlightenment
просгокутник,(-ка) ч rectangle
просити,Here you are
просіка,firebreak
просіяти,"sift, sieve"
прославити,make sb famous
прославитися,become famous for sth
прославлении,"renowned, famous, well-known"
прославляти,praise
прослезитися,to shed tears
прослизнути,slip through sth
просліджувати,to investigate; країну: to explore; to search through; to inquire a. search into; to examine (теж мед )
прослухати,miss
прослуховування,bugging
просмажении,well done; medium
просмик,"(-ку) ч mountain-pass; mountain-gorge, ravine; вузька́ доли́на: glen; narrows"
проснутися,awake
просо,millet
просодія,prosody
просонняс,broken (а. disturbed) sleep; говори́тр з ~ to talk in one's sleep
просочити,impregnate
просочитися,permeate sth
просочування,impregnation
просочувати,impregnate
проспати,"oversleep, sleep through/away sth"
проспект,"leaflet, handbill | avenue"
проспівувати,sing to osf
проста,(-тої) ж геом. straight
простак,simpleton
простакуватии,coarse
простата,prostate (gland)
простацькии,"rude; vulgar, mean"
простежити,keep an eye on sb
простелити,make the bed
простигати,"to grow (Щ. to get) cold, to cool down"
простии,mere
простимии,"excusable, pardonable"
простиня,(bed) sheet
простирадло,(bed) sheet
простирати,"to spread, to expand, to extend"
проститутка,prostitute
проституція,prostitution
простіи,"inactivity, downtime, idle time"
простінок,(-нка^ ч partitionпростір (-то́ру) ч space; room;
простір,"space; border area(s), frontier; airspace"
просто,"simply; commonly; simply, just"
простоволосии,bare-headed
простодушнии,"artless, ingenuous"
простолініинии,"lineal; (люди́на) sincere, open, upright"
простолюддя,c common (а.
простории,"capacious, large"
просторовии,spatial
простота,simplicity
простріл,lumbago
простромити,"impale, skewer"
прострочении,be time-barred
простуватиіо,"make straight,"
простуда,"cold, chill"
простуджении,having a cold
простудіювати,to study (a.
проступник,"(-ка) ч criminal,"
проступок,"lapse, (minor) offence against sth"
простягати,"(ру́ку) to put ouf,"
простягатися,extend swh
простягнути,hold out one's; lend a hand
просування,advance
просувати,"promote, encourage sth"
просуватися,"move ahead, advance"
просунути,stick/pass sth
просунутися,"advance, move on"
просценіюм,(-a) c proscenium
просьба,request for sth
просякнути,seep through sth
просякнутии,"drenched, soaked with sth"
просянии,millet
протагоніст,protagonist
протагоністка,(female) protagonist
протанцювати,to dance
протаранити,"crash, ram into sth"
протвережуватися,"(протверезитися) to become sober,"
проте,"however, but, nevertheless, nonetheless; yet, still; for that matter, after all"
протеже,protégé
протез,prosthesis
протеза,(-зи) ж prothesis
протеін,protein
протеіна,( ни) ж хем. protein
протекти,allow moisture through
протектор,tread
протекціинии,"favoured, (AmE)"
протекціонізм,protectionism
протекціоніст,protectionist
протекціоністськии,protectionist
протекція,"favouritism, (AmE)"
протерозои,(the) Proterozoic
протерти,rub one's eyes
протертии,"(о́дяг) threadbare,"
протест,protest
протестант,"Protestant, evangelical"
протестантизм,Protestantism
протестантськии,Protestant
протестувати,protest against sth | test sth
проти,pros and cons
протиатомнии,nuclear
противага,as opposed to…
противитися,oppose sb/sth; contradict sb/sth
противнии,"annoying, unpleasant, disagreeable | opposite"
противник,"opponent, adversary"
противниця,(female) opponent
протигаз,gas mask
протидіючии,reactionary
протидія,resistance to sb/sth
протидіяти,counter sth
протизаконнии,"illegal, unlawful"
протизапальнии,anti-inflammatory
протизапліднии,birth control/contraceptive pill
протизасіб,"( собу) ч remedy,"
протиковзкии,"antiskid, non-skid"
протилежнии,opposite
протилежність,"(the) opposite, (the) reverse"
протилетунськии,~a оборо́на antiaircraft
протилік,( у) ч antidote
протинаступ,(-у) ч counter-attack
протинка,"(-ки) ж грам, comma [fence"
протинрироднии,contrary to
протиоборона,(-ни) ж deпротиотру́та (-ти) ж antidote
протиотрута,antidote
протипара,(-ри) ж countersteam
протиповітрянии,anti-aircraft
протипожежнии,fire
протипоказання,contraindication
протиправнии,"illicit, wrongful"
протиправнииість,(-носги) ж illegality
протиракетнии,anti-missile; anti-missile defence
протиратися,fray
протиріччя,contradiction
протирозвідка,"(-ки) ж counter-espionage, secret service"
протискатнся,to squeeze (a.
протист,protozoan
протиставлення,confrontation
протистояння,resistance to sb/sth
протистояти,What are we up against?
протитанковии,antitank
протиудар,"(-у) ч countertnrust; військ, counter attack"
протікати,"flow through sth , pass through sth"
проткнути,"run through sb , transfix sb"
протока,"strait(s); vas deferens, sperm duct; bile duct, gall/biliary duct"
протокол,"minutes, proceedings"
протон,proton
протоптати,beat
прототип,prototype
проточнии,running
протримуватися,hold out against sth
протуберанець,prominence
протяг,draught; The room is draughty.
протягати,draw
протягом,during the day
протягти,overrun
протяжнии,long
проукраінськии,pro-Ukrainian
профан,"amateur, dabbler"
професіинии,professional army
професіино,professionally
професіонал,professional
професіоналізація,"professionalization, (BrE)"
професіоналізм,expertise
професіоналка,(female) professional
професіональнии,professional
професіональність,professionalism
професіонально,professionally
професія,"profession, vocation; carry on a profession"
професор,professor
професорка,(female) professor
професура,professorship
профі,pro
профілактика,prevention of sth
профілактичнии,preventive
профіль,profile
профіцит,budget surplus
профспілка,(trade)/ (AmE)
профспілковии,(trade) union
прохання,request for sth; I have a favour to ask you.; It's a big ask.; at sb's; do sth
прохарчовуватися,"demand; сповни́ти ~to grant a p.'s wish а. petition; (на письмО petition, suit, memorial; відки́нути ~ to refuse a request а.petition; вно́сити~ to enter an application"
прохати,"plead with sb for sth, to do sth"
прохатп,"р о ЩОСЬ t o a s k a t h . of A p., to ask a p. for a th."
прохід,passage
прохідна,"gatehouse, (BrE)"
прохіднии,passable
проходжении,worn (out)
проходити,"take place, be under way, be in progress"
прохожии,passing (by)
прохолода,cool (place); coolness of the night
прохолоджувальнии,"refrigerative, refrigerant"
прохолоджуватися,to refresh o. s.; to calm down
прохолоднии,Store in a cool place.
прохолонути,"cool (down), cool off, get/go cold"
процвітання,prosperity
процвітати,"prosper, thrive, flourish"
процвітаючии,"flourishing, prosperous, thriving"
процедура,"procedure, (course of) treatment"
процедурнии,procedural
процент,"per cent, percent, percentage, proportion; interest"
процентнии,(of) interest
процес,trial
процесія,"walk in procession, parade"
процесор,processor; word processor
процесуальнии,procedural
проціджувати,strain
прочанин,pilgrim
прочесати,"comb sth , scour sth"
прочинити,open sth a crack
прочистити,unstop
прочитати,recite
прочухан,"roasting, ticking-off"
прочуханка,hiding
прошепотіти,whisper sth to sb
прошивати,to pierce; (бли́скавка) to flash
проштампувати,"stamp, rubber-stamp sth"
проштовхнути,push through sth
проштовхнутися,force one's
проштовхуватися,"push one's way, elbow one's way swh"
проштудіювати,wade through sth
проща,(-щі) ж pilgrimage;
прощаваи,"farewell, goodbye"
прощаи,"farewell, goodbye"
прощання,"goodbye, farewell, leave-taking"
прощати,"to pardon a p. a th., (дарувати) to forgive, to condone; (гріхи́) to remit a p.'s"
прощатися,say goodbye to sb
прощеннии,excusable
прощення,forgiveness
прояв,"display, manifestation, show of sth"
проява,development
проявити,show
проявитися,prove successful
проявлятися,"to come to light,"
прояснення,clearing up
прояснється,"the weather is clearing up, the clouds are dispersing, it is setting in fair"
прояснити,lighten
прояснитися,brighten (up); clear up
прояснюватися,be clearing up
прс,in a crowd; in crowds; ; with impunity
пруг,(-га) ч stripe; (від у́дару)
прудкии,"fast, quick, rapid, swift"
прудко,sharply
пружина,spring
пружинитися,be springy
пружистии,"elastic, flexible;"
пружистииість,"(-тости) ж elasticity,"
пружнии,"springy, bouncy"
пружність,"(-ности) ж =пружи́стість; си́ла ~ости springiness, elasticity"
пружок,"(-жка) ч stripe; (мате́рія) в пружки́ striped, streaky психологічний прус (-а), ~а́к (-ака́) ч Prussian Пру́с и (Прус) мн, ~ія (-ії) ох Prussia"
пружокічнии,"psychic психія́тр (-pa) ч alienist, psychiatrist;~ifl (-ІЇ) ox psychiatry психоаналіза(-зи) жрвусЬо-analysis психо́за (-зи) ж psychosis І нсихо́л ог (-ra) ч psychologist;. І ~огічний psychological"
пружокпсихологія,о́гія (-ії) ж psychology
пружокькии,"Prussian прут ( та) ч twig, wand, rod нруча́тися to resist with might and main; to tear o. s. away прядільни к (-а) ч, ~ця ( ці> ж spinner црядільня (-ні) ж spinning-mill а. works"
прут,"rod, bar"
прутень,pecker
прутик,twig; osier
прцимачка,(-ки) ж fosterdaughter
пршіущення,"c (до чого́сь, куди́сь) admission, permission,"
пряжа,yarn
пряжка,"clasp, buckle"
пряма,straight
прямии,live broadcast
прямо,sit upright
прямовиснии,vertical
прямодушнии,forthright
прямокутнии,"rectangular, right-angled"
прямокутник,rectangle
прямолініинии,straightforward
прямувати,Where are you heading
прямуватися,"head, go swh"
прянии,"spicy, savoury, (AmE)"
пряник,gingerbread
прясти,spin
псалом,psalm
псар,dog handler
псевдонім,pseudonym
псилоцибе,magic/psilocybe mushroom
псих,loony
психіатр,psychiatrist
психіатриня,(female) psychiatrist
психіатричнии,psychiatric
психіатрія,psychiatry
психіка,psyche
психічнии,psychological
психічно,psychologically
психлікарня,"mental hospital, psychiatric hospital"
психоаналіз,psychoanalysis
психоз,psychosis
психолог,psychologist
психологиня,(female) psychologist
психологічнии,psychological
психологічно,psychologically
психологія,psychology
психопат,psychopath
психосоматика,psychosomatics
психосоматичнии,psychosomatic
психотерапевт,psychotherapist
психотерапія,psychotherapy
психотест,psychological test
психотичнии,psychotic
психотропнии,psychotropic
псові,canines
псоріаз,psoriasis
пструг,(-га) ч trout
псувати,"spoil, ruin"
псуватися,decay
псячі,canines
птаство,"birds, avifauna"
птах,"bird; songbird; birds, avifauna"
птахи,"to perch down, to"
птахоферма,poultry farm
пташеня,chick
пташинии,"bird's, avian"
пташка,"early bird, early riser"
пташник,"(-ка́) ч bird-catcher; bird-seller, bird-fancier"
птерозавр,"pterosaur, flying reptile"
птиця,poultry
пубертатнии,"puber(t)al, pubescent"
публіка,audience
публікація,"publishing, publication"
публікувати,publish sth
публіцист,"publicist, (freelance) journalist"
публіцистика,journalism
публіцистка,(female) publicist
публічнии,public
публічнииість,"(-ности) ж publicity, notoriety"
публічність,publicity
публічно,"in public, publicly"
пугар,"(-ря́) ч mug, cup"
пугач,"owl, horned owl; eagle owl"
пуголовок,tadpole
пудель,poodle
пудинг,blancmange
пудло,(-ла) с box
пудра,icing
пудрениця,(powder) compact
пужално,"(-на) с whip-handle, пускати whip-stick пуза́|н (-ана́), ~ нь (-аня́) ч big belly, paunch"
пужалнськии,Puritan пурпу́р (-ру) ч
пузатии,"paunchy, pot-bellied"
пузир,blister
пук,fart
пукавка,shooter
пукати,fart
пукнути,fart
пукром,to sugar
пуловер,jumper
пульверизатор,sprayer
пульс,pulse; accelerated pulse
пульсувати,"beat, pulsate"
пульт,control panel; remote control
пума,"puma, (AmE)"
пумпернікель,"pumpernickel, black bread"
пункт,municipality
пунктир,dot-and-dash line
пунктирнии,dotted
пунктуальнии,punctual
пунктуальність,punctuality
пунктуально,"punctually, promptly"
пунктуація,punctuation
пункція,puncture
пунш,punch
пупковии,umbilical
пуповина,umbilical (cord)
пупок,navel
пуризм,purism
пуританин,"puritan, prude"
пуританка,(female) puritan
пурпурнии,"purple, magenta"
пурпуровии,magenta
пурхати,flutter
пуск,launch
пустар,(-ря́) ч wilderness; heath
пусте,(-то́го) c nonsense
пустельнии,desert
пустельник,(-a) ч hermit
пустеля,"desert, wasteland, barren land"
пустии,empty
пустиннии,"dreary, waste, desert, desolate, deserted"
пустиня,"(-ні) ж wilderness, desert"
пустир,undeveloped area
пустити,take root(s)
пустка,"(-ки) ж desert, solitude; derelict house"
пустодзвін,just a
пустомолот,gasbag
пустомолотство,rigmarole
пустослівʼя,chatter
пустота,"(-ти) ж wantonness, frivolity, levity"
пустотливии,"naughty, mischievous"
пустошити,"to devastate, to lay waste, to make desolate, nraomV to plunder, to pillage, to sack пустува́ти to dally пусту́н (-уна́) ч playful person; jester, joker пу́та (пут) мн fetter, chain"
пустощі,mischief
пустувати,"fool (around), horse around, frolic, romp (around), caper, cavort, frisk"
пустула,pustule
пустун,(sly) fox
путівник,"guide, guidebook"
путч,putsch
пух,down
пухир,blister
пухкии,fluffy
пухлии,"well-padded, fleshy"
пухлина,tumour
пуховик,down jacket
пучок,bundle
пушок,fluff
пфрестрашиги,"to frighien, to terrify; ~ ~ ся to be frightened, terrified, horrified, to take fright (чого́сь - ас a th.)"
пхати,push sth swh
пхатися,push
пхикати,whimper
пшениця,wheat
пшеничнии,wheat
пшик,zilch
